message;severity;node;stamp;topics;location
"Parsed command type: start";"2";"/linefollow_controller";"1751108158.271888971";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.follow_cmd_callback:63"
"Raw message data: {\"cmd\": \"start\", \"max_speed\": 0.3, \"img_flip\": false, \"VideoSwitch\": false, \"hsv_params\": {\"hmin\": 55, \"smin\": 79, \"vmin\": 96, \"hmax\": 125, \"smax\": 253, \"vmax\": 255}}";"2";"/linefollow_controller";"1751108158.269344091";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.follow_cmd_callback:53"
"Line follow start command sent successfully";"2";"/gui_controller";"1751108158.268384218";"/arm_cmd,/arm_status,/emergency_stop,/follow_cmd,/linefollow_status,/rosout,/system_status,/web_cmd";"gui_server.py:TransBotGUI.linefollow_task:365"
"=== Received line follow command ===";"2";"/linefollow_controller";"1751108158.266843080";"/LineDetect/parameter_descriptions,/LineDetect/parameter_updates,/cmd_vel,/follow_cmd,/linefollow_enable,/linefollow_status,/rosout";"linefollow_controller.py:LineFollowController.follow_cmd_callback:52"
"ODOM PUBLISH";"2";"/base_node";"1751108158.265660679";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"Command data prepared: {'cmd': 'start', 'max_speed': 0.3, 'img_flip': False, 'VideoSwitch': False, 'hsv_params': {'hmin': 55, 'smin': 79, 'vmin': 96, 'hmax': 125, 'smax': 253, 'vmax': 255}}";"2";"/gui_controller";"1751108158.260580062";"/arm_cmd,/arm_status,/emergency_stop,/follow_cmd,/linefollow_status,/rosout,/system_status,/web_cmd";"gui_server.py:TransBotGUI.linefollow_task:354"
"Loaded linefollow parameters: {'hsv_params': {'hmin': 55, 'smin': 79, 'vmin': 96, 'hmax': 125, 'smax': 253, 'vmax': 255}}";"2";"/gui_controller";"1751108158.254782199";"/arm_cmd,/arm_status,/emergency_stop,/follow_cmd,/linefollow_status,/rosout,/system_status,/web_cmd";"gui_server.py:TransBotGUI.linefollow_task:338"
"Loaded linefollow parameters from config";"2";"/gui_controller";"1751108158.251960277";"/arm_cmd,/arm_status,/emergency_stop,/follow_cmd,/linefollow_status,/rosout,/system_status,/web_cmd";"gui_server.py:TransBotGUI.load_linefollow_params:452"
"Using HSV parameters from transbot_linefollow package";"2";"/gui_controller";"1751108158.249562025";"/arm_cmd,/arm_status,/emergency_stop,/follow_cmd,/linefollow_status,/rosout,/system_status,/web_cmd";"gui_server.py:TransBotGUI.load_linefollow_params:432"
"=== Starting line follow from GUI ===";"2";"/gui_controller";"1751108158.235180854";"/arm_cmd,/arm_status,/emergency_stop,/follow_cmd,/linefollow_status,/rosout,/system_status,/web_cmd";"gui_server.py:TransBotGUI.start_linefollow:327"
"ODOM PUBLISH";"2";"/base_node";"1751108158.213991119";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.162384817";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.112485437";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.061532534";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108158.011532692";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.960696975";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.912154208";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.858559344";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.809543417";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.757717158";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.707128289";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.656509773";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.606353584";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.555568847";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.505582711";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.453433864";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.404103534";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.352364274";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
